"","class","fueltype","engine","cylinders","consumption","emissions"
"2001 ACURA 1.7EL A4","CAR","GAS",1.7,4,9.3,191
"2001 ACURA 1.7EL M5","CAR","GAS",1.7,4,8.9,191
"2001 ACURA 3.2CL AS5","CAR","DIESEL",3.2,6,13.7,265
"2001 ACURA 3.2TL AS5","CAR","DIESEL",3.2,6,13.8,267
"2001 ACURA 3.5RL A4","CAR","DIESEL",3.5,6,15,301
"2001 ACURA INTEGRA A4","CAR","GAS",1.8,4,11.4,232
"2001 ACURA INTEGRA M5","CAR","GAS",1.8,4,10.6,221
"2001 ACURA INTEGRA GS-R M5","CAR","DIESEL",1.8,4,10.8,223
"2001 ACURA MDX A5","TRUCK/SUV","DIESEL",3.5,6,15.5,311
"2001 ACURA NSX AS4","CAR","DIESEL",3,6,15.3,306
"2001 ACURA NSX M6","CAR","DIESEL",3.2,6,15.6,308
"2001 AUDI A4 A5","CAR","DIESEL",1.8,4,13.2,260
"2001 AUDI A4 M5","CAR","DIESEL",1.8,4,11.8,232
"2001 AUDI A4 QUATTRO A5","CAR","DIESEL",1.8,4,13.3,265
"2001 AUDI A4 QUATTRO M5","CAR","DIESEL",1.8,4,12.2,244
"2001 AUDI A6 A5","CAR","DIESEL",2.8,6,15,294
"2001 AUDI A6 AVANT QUATTRO WAGON A5","TRUCK/SUV","DIESEL",2.8,6,15.4,306
"2001 AUDI A6 QUATTRO A5","CAR","DIESEL",2.7,6,15.2,301
"2001 AUDI A6 QUATTRO M6","CAR","DIESEL",2.7,6,15.2,304
"2001 AUDI A8 L A5","CAR","DIESEL",4.2,8,15.4,301
"2001 AUDI A8 QUATTRO A5","CAR","DIESEL",4.2,8,15.4,301
"2001 AUDI ALLROAD A5","TRUCK/SUV","DIESEL",2.7,6,17.1,345
"2001 AUDI ALLROAD M6","TRUCK/SUV","DIESEL",2.7,6,16.5,336
"2001 AUDI S4 QUATTRO A5","CAR","DIESEL",2.7,6,15.2,301
"2001 AUDI S4 QUATTRO M6","CAR","DIESEL",2.7,6,15.2,304
"2001 AUDI S8 QUATTRO # A5","CAR","DIESEL",4.2,8,17.8,347
"2001 AUDI TT COUPE QUATTRO M5","CAR","DIESEL",1.8,4,13.1,260
"2001 AUDI TT COUPE QUATTRO # M6","CAR","DIESEL",1.8,4,13.1,260
"2001 AUDI TT ROADSTER M5","CAR","DIESEL",1.8,4,12.3,246
"2001 AUDI TT ROADSTER QUATTRO # M6","CAR","DIESEL",1.8,4,13.1,260
"2001 BMW 320i A5","CAR","DIESEL",2.2,6,13.1,258
"2001 BMW 320i M5","CAR","DIESEL",2.2,6,12.8,251
"2001 BMW 325Ci A5","CAR","DIESEL",2.5,6,13.3,265
"2001 BMW 325Ci M5","CAR","DIESEL",2.5,6,13,253
"2001 BMW 325Ci CONVERTIBLE A5","CAR","DIESEL",2.5,6,13.7,274
"2001 BMW 325Ci CONVERTIBLE M5","CAR","DIESEL",2.5,6,13.9,274
"2001 BMW 325i A5","CAR","DIESEL",2.5,6,13.3,265
"2001 BMW 325i M5","CAR","DIESEL",2.5,6,13,253
"2001 BMW 325xi A5","CAR","DIESEL",2.5,6,13.5,274
"2001 BMW 325xi M5","CAR","DIESEL",2.5,6,13.6,271
"2001 BMW 330Ci A5","CAR","DIESEL",3,6,13.1,260
"2001 BMW 330Ci M5","CAR","DIESEL",3,6,12.8,251
"2001 BMW 330Ci CONVERTIBLE A5","CAR","DIESEL",3,6,14.2,281
"2001 BMW 330Ci CONVERTIBLE M5","CAR","DIESEL",3,6,14.5,290
"2001 BMW 330i A5","CAR","DIESEL",3,6,13.1,260
"2001 BMW 330i M5","CAR","DIESEL",3,6,12.8,251
"2001 BMW 330xi A5","CAR","DIESEL",3,6,14.6,290
"2001 BMW 330xi M5","CAR","DIESEL",3,6,13.4,267
"2001 BMW 525i A5","CAR","DIESEL",2.5,6,13.3,265
"2001 BMW 525i M5","CAR","DIESEL",2.5,6,13,253
"2001 BMW 525i SPORT WAGON A5","TRUCK/SUV","DIESEL",2.5,6,13.7,274
"2001 BMW 525i SPORT WAGON M5","TRUCK/SUV","DIESEL",2.5,6,13.9,274
"2001 BMW 530i A5","CAR","DIESEL",3,6,14.2,281
"2001 BMW 530i M5","CAR","DIESEL",3,6,12.8,251
"2001 BMW 540i A5","CAR","DIESEL",4.4,8,14.7,294
"2001 BMW 540i M6","CAR","DIESEL",4.4,8,16.4,317
"2001 BMW 540i SPORT WAGON A5","TRUCK/SUV","DIESEL",4.4,8,15.5,320
"2001 BMW 740i A5","CAR","DIESEL",4.4,8,15.4,308
"2001 BMW 740iL A5","CAR","DIESEL",4.4,8,15.4,308
"2001 BMW M COUPE M5","CAR","DIESEL",3.2,6,15.2,299
"2001 BMW M ROADSTER M5","CAR","DIESEL",3.2,6,15.2,299
"2001 BMW M3 M6","CAR","DIESEL",3.2,6,16.2,315
"2001 BMW M3 CONVERTIBLE M6","CAR","DIESEL",3.2,6,16.6,324
"2001 BMW M5 M6","CAR","DIESEL",4.9,8,19.4,373
"2001 BMW X5 A5","TRUCK/SUV","DIESEL",3,6,16.4,338
"2001 BMW X5 M5","TRUCK/SUV","DIESEL",3,6,17.3,347
"2001 BMW Z3 A4","CAR","DIESEL",2.5,6,13.3,267
"2001 BMW Z3 M5","CAR","DIESEL",2.5,6,13.3,265
"2001 BMW Z3 A5","CAR","DIESEL",3,6,13.5,274
"2001 BMW Z8 M6","CAR","DIESEL",4.9,8,19.4,373
"2001 BUICK CENTURY A4","CAR","GAS",3.1,6,13,258
"2001 BUICK LESABRE A4","CAR","GAS",3.8,6,13.8,265
"2001 BUICK PARK AVENUE A4","CAR","GAS",3.8,6,13.8,265
"2001 BUICK PARK AVENUE # A4","CAR","DIESEL",3.8,6,14.5,278
"2001 BUICK REGAL A4","CAR","GAS",3.8,6,14.3,271
"2001 BUICK REGAL # A4","CAR","DIESEL",3.8,6,14.5,278
"2001 CADILLAC CATERA A4","CAR","DIESEL",3,6,15.4,308
"2001 CADILLAC DEVILLE A4","CAR","DIESEL",4.6,8,15.6,294
"2001 CADILLAC ELDORADO A4","CAR","DIESEL",4.6,8,15.6,294
"2001 CADILLAC SEVILLE A4","CAR","DIESEL",4.6,8,15.6,294
"2001 CHEVROLET ASTRO CARGO A4","TRUCK/SUV","GAS",4.3,6,15.4,313
"2001 CHEVROLET ASTRO CARGO AWD A4","TRUCK/SUV","GAS",4.3,6,17.2,350
"2001 CHEVROLET ASTRO PASSENGER A4","TRUCK/SUV","GAS",4.3,6,16,324
"2001 CHEVROLET ASTRO PASSENGER AWD A4","TRUCK/SUV","GAS",4.3,6,17.9,370
"2001 CHEVROLET BLAZER A4","TRUCK/SUV","GAS",4.3,6,15.4,313
"2001 CHEVROLET BLAZER M5","TRUCK/SUV","GAS",4.3,6,17,343
"2001 CHEVROLET BLAZER 4X4 A4","TRUCK/SUV","GAS",4.3,6,17.2,350
"2001 CHEVROLET BLAZER 4X4 M5","TRUCK/SUV","GAS",4.3,6,18.7,386
"2001 CHEVROLET C1500 SILVERADO A4","TRUCK/SUV","GAS",4.3,6,16,324
"2001 CHEVROLET C1500 SILVERADO M5","TRUCK/SUV","GAS",4.3,6,17.1,347
"2001 CHEVROLET C1500 SUBURBAN A4","TRUCK/SUV","GAS",5.3,8,18.7,391
"2001 CHEVROLET C1500 TAHOE A4","TRUCK/SUV","GAS",4.8,8,17.6,357
"2001 CHEVROLET CAMARO A4","CAR","GAS",3.8,6,13.7,262
"2001 CHEVROLET CAMARO M5","CAR","GAS",3.8,6,13.8,262
"2001 CHEVROLET CAMARO M6","CAR","DIESEL",5.7,8,13.9,274
"2001 CHEVROLET CAVALIER A4","CAR","GAS",2.2,4,11.7,235
"2001 CHEVROLET CAVALIER M5","CAR","GAS",2.2,4,12.2,239
"2001 CHEVROLET CAVALIER BI-FUEL A4","CAR","GAS",2.2,4,11.7,235
"2001 CHEVROLET CORVETTE A4","CAR","DIESEL",5.7,8,14.7,292
